event_id,resolution_id,resolution_text,required_flag,child_event_id,tier
prologue_1,1,"1.   B?n d?y t? s?m tinh m? khi m?t tr?i còn ch?a ló d?ng, trong n?i háo h?c ho?c lo l?ng.",,prologue_2,
prologue_1,2,"2.   B?n v??n vai th?c d?y trong m?t bu?i sáng ??p tr?i, nh? gi? gi?c hàng ngày c?a b?n.",,prologue_2,
prologue_1,3,3.   B?n c? c??ng l?i ham mu?n ng? n??ng ?? l?m c?m bò ra kh?i gi??ng.,,prologue_2,
prologue_1,4,4.   B?n ng? quên,,prologue_1a,
prologue_2,5,1.   B?n không còn n?i nào ?? v?.,,prologue_3,
prologue_2,6,"2.   B?n ?ã b? ra r?t nhi?u, quá nhi?u.",,prologue_3,
prologue_2,7,3.   B?n có m?t vi?c b?n không th? không làm.,,prologue_3,
prologue_2,8,"4.   B?n mu?n th?y th? gi?i ngoài kia. V??t ngoài Gateland, ngoài C?u Th? Gi?i.",,prologue_3,
prologue_4,9,1. …là nam gi?i…,,prologue_5,
prologue_4,10,2. … là n? gi?i…,,prologue_5,
prologue_5,11,1. …?n v?i ?i?u ?ó,,prologue_6,
prologue_5,12,2. …không h?n th?,,prologue_5a,
prologue_6,13,1.   Ch?a ??n tu?i tr??ng thành… nh?ng b?n v?n luôn tin r?ng s? tr??ng thành không n?m ? tu?i tác.,,prologue_7,
prologue_6,14,2.   Là m?t thanh niên m?i l?n. Và hôm nay chính là ngày cu?c ??i c?a b?n th?t s? b?t ??u.,,prologue_7,
prologue_6,15,"3.   C?ng ?ã ngoài 30. B?n c?ng ?ã ?i ch? n? ch? kia, th?y nhi?u th?…nh?ng ?ây là lúc cho m?t kh?i ??u m?i hoàn toàn.",,prologue_7,
prologue_6,16,"4.   M?i b??c sang tu?i trung niên. Nhi?u ng??i cho r?ng b?n không còn phong ?? nh? h?i tr?, nh?ng b?n bi?t h?n ai h?t, b?n v?n còn nhi?u nhi?t huy?t bên trong.",,prologue_7,
prologue_6,17,"5.   ?ã ??n tu?i x?a nay hi?m. Tuy nhiên, ch?ng nào còn th?, b?n s? không n?m xu?ng và ch? th?n ch?t t?i.",,prologue_7,
prologue_7,18,"1.   B?n luôn thích bi?n và c?ng, m?t n?i nh?n nh?p sôi ??ng.",,prologue_8,
prologue_7,19,"2.   Bi?n th?t là lãng m?n, b?n c?m giác b?n có th? làm ngay m?t bài th? n?u nh? b?n không v?i công vi?c.",,prologue_8,
prologue_7,20,3.   Bi?n là m?t n?i ??y nh?ng bí ?n mà b?n mu?n khám phá và phiêu l?u.,,prologue_8,
prologue_7,21,4.   B?n không có nhi?u k? ni?m ??p v? bi?n. ?ó là v?c th?m n?i nhi?u ng??i ?ã ra ?i không tr? v?.,,prologue_8,
prologue_9,22,"1.   Là m?t ng??i Gatelander chân chính, ???ng nhiên là b?n ch?n trà",,prologue_10,
prologue_9,23,2.   Dù không thích trà l?m nh?ng b?n v?n ch?n trà ?? ghi ?i?m v?i ng??i ph?ng v?n.,,prologue_10,
prologue_9,24,3.   Khó c??ng l?i h??ng v? m?nh m? tràn ??y n?ng l??ng c?a cà phê.,,prologue_10,
prologue_9,25,4.   B?n ch? thích n??c tr?ng.,,prologue_10,
prologue_9,26,5. B?n li?c chai r??u rum ???c ??t ? trên bàn làm vi?c.,,prologue_9a,
prologue_9,27,5. B?n li?c chai r??u rum ???c ??t ? trên bàn làm vi?c.,,prologue_9b,
prologue_12,28,"1.    “Xin l?i, thông tin này không ???c chính xác l?m.”",,prologue_12a,
prologue_12,29,"2.    Sau khi ??c k? vài ba l??t, b?n ??t bút vào ph?n ch? kí.",,prologue_13,
prologue_14,30,Yes,,prologue_12a,
prologue_14,31,No,,prologue_15,
